id,type,title,text,year,city,country,lat,lon,all_cities,all_coords,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason
US11364310,patent,RECOMBINANT VIRUS REPLICON SYSTEMS AND USES THEREOF,"RECOMBINANT VIRUS REPLICON SYSTEMS AND USES THEREOF. The present disclosure generally relates to viral-based expression systems suitable for the production of molecules of interest. The disclosure relates to nucleic acid constructs, such as expression vectors, containing a modified replicon RNA which includes a modified 5&#x2032;-unstranslated region (5&#x2032;-UTR) and, optionally, at least some of its original viral sequence encoding structural proteins having been deleted. Also disclosed are methods for producing polypeptides of interest.",2022,San Diego,US,32.7174202,-117.162772,"[""San Diego, CA""]","[[32.7174202, -117.162772]]",,,False,0.0,core_keyword
US11203761,patent,GENETICALLY ENGINEERED VIBRIO SP. AND USES THEREOF,GENETICALLY ENGINEERED VIBRIO SP. AND USES THEREOF. The present disclosure provides engineered Vibrio sp. organisms. The organisms can be engineered to have an altered Chromosome II so that the altered Chromosome II can be used in Vibrio sp. and other organisms for the cloning or amplification of nucleic acid molecules and for the expression and production of proteins and peptides in a Vibrio sp. organism. One or more genetic elements have been deleted from Chromosome II and/or relocated from Chromosome II to Chromosome I. The engineered Vibrio sp. organisms of the invention can also have signal sequences fused to proteins or peptides to be secreted from the cell. In some embodiments the engineered Vibrio sp. organisms can have sequences that enable them to retain viability after incubation at low temperatures.,2021,San Diego,US,32.7174202,-117.162772,"[""San Diego, CA""]","[[32.7174202, -117.162772]]",,,False,0.0,core_keyword
US10017306,patent,TAMPER RESISTANT ASSEMBLY FOR SECURING VALUABLE MATERIAL,"TAMPER RESISTANT ASSEMBLY FOR SECURING VALUABLE MATERIAL. The invention provides a tamper resistant assembly that that securely contains a valuable material. The assembly has a container for holding the valuable material, an optional carrier that contains the container, one or more cover components that enclose the valuable material in the container, and one or more labels having a plurality of devices that reveal tampering by distortion of at least one of the plurality of devices. The label(s) are positioned so that dislodging a cover component causes a detectable distortion in at least one of the plurality of devices, thereby revealing tampering with the assembly. In one embodiment the label can be affixed partially to a surface of a cover component and partially to a surface of the container or the optional carrier. Also disclosed are methods of detecting tampering and method of manufacturing a temper-resistant assembly. Because the assembly allows a remote validator to validate the assembly prior to providing essential instructions or authorization for conducting procedures on valuable material contained by the assembly, the manufacturer is assured that its procedures are being provided only to authorized persons.",2018,Poway,US,32.9628234,-117.035864,"[""Poway, CA"", ""San Diego, CA"", ""Carlsbad, CA""]","[[32.9628234, -117.035864], [32.7174202, -117.162772], [33.1580933, -117.3505966]]",,,False,0.0,core_keyword
US10704041,patent,MATERIALS AND METHODS FOR THE SYNTHESIS OF ERROR-MINIMIZED NUCLEIC ACID MOLECULES,"MATERIALS AND METHODS FOR THE SYNTHESIS OF ERROR-MINIMIZED NUCLEIC ACID MOLECULES. The present invention provides materials and methods useful for error correction of nucleic acid molecules. In one embodiment of the invention, a first plurality of double-stranded nucleic acid molecules having a nucleotide mismatch are fragmented by exposure to a molecule having unidirectional mismatch endonuclease activity. The nucleic acid molecules are cut at the mismatch site or near the mismatch site, leaving a double-stranded nucleic acid molecule having a mismatch at the end or near end of the molecule. The nucleic acid molecule is then exposed to a molecule having unidirectional exonuclease activity to remove the mismatched nucleotide. The missing nucleotides can then be filled in by the action of, e.g., a molecule having DNA polymerase activity. The result is double-stranded nucleic acid molecules with a decreased frequency of nucleotide mismatches. Also provided are novel nucleic acid sequences encoding mismatch endonucleases, polypeptides encoded thereby, as well as nucleic acid constructs, transgenic cells, and various compositions thereof.",2020,Carlsbad,US,33.1580933,-117.3505966,"[""Carlsbad, CA"", ""Rancho Santa Fe, CA"", ""San Diego, CA""]","[[33.1580933, -117.3505966], [33.0242314, -117.1979781], [32.7174202, -117.162772]]",,,False,0.0,core_keyword
US11027282,patent,DIGITAL TO BIOLOGICAL CONVERTER,"DIGITAL TO BIOLOGICAL CONVERTER. The present invention provides a system for receiving biological sequence information and activating the synthesis of a biological entity. The system has a receiving unit for receiving a signal encoding biological sequence information transmitted from a transmitting unit. The transmitting unit can be present at a remote location from the receiving unit. The system also has an assembly unit connected to the receiving unit, and the assembly unit assembles the biological entity according to the biological sequence information. Thus, according to the present invention biological sequence information can be digitally transmitted to a remote location and the information converted into a biological entity, for example a protein useful as a vaccine, immediately upon being received by the receiving unit and without further human intervention after preparing the system for receipt of the information. The invention is useful, for example, for rapidly responding to viral and other biological threats that are specific to a particular locale.",2021,La Jolla,US,32.8458529,-117.2575702,"[""La Jolla, CA"", ""Carlsbad, CA"", ""San Marcos, CA""]","[[32.8458529, -117.2575702], [33.1580933, -117.3505966], [33.1352995, -117.1743395]]",,,False,0.0,core_keyword
US10500266,patent,INFLUENZA VIRUS REASSORTMENT,INFLUENZA VIRUS REASSORTMENT. New influenza donor strains for the production of reassortant influenza A viruses are provided.,2019,Cambridge,US,42.3656347,-71.1040018,"[""Cambridge, MA"", ""Marburg""]","[[42.3656347, -71.1040018], [50.8090106, 8.7704695]]",,,False,0.0,core_keyword
US10538786,patent,RECOMBINANT ARTERIVIRUS REPLICON SYSTEMS AND USES THEREOF,"RECOMBINANT ARTERIVIRUS REPLICON SYSTEMS AND USES THEREOF. The present disclosure generally relates to viral-based expression systems suitable for the production of molecule of interests in recombinant host cells. The disclosure particularly relates to nucleic acid constructs, such as expression vectors, containing a modified arterivirus genome or replicon RNA in which at least some of its original viral sequence has been deleted. Also included in the disclosure are viral-based expression vectors including one or more expression cassettes encoding heterologous polypeptides. In some embodiments, the expression cassettes are configured and positioned at defined locations on the viral genome so as to enable expression of the heterologous polypeptides in a tunable manner.",2020,San Diego,US,32.7174202,-117.162772,"[""San Diego, CA"", ""La Jolla, CA""]","[[32.7174202, -117.162772], [32.8458529, -117.2575702]]",,,False,0.0,core_keyword
US11085037,patent,GENERATION OF SYNTHETIC GENOMES,"GENERATION OF SYNTHETIC GENOMES. Methods for generating synthetic genomes, for example synthetic genomes having desired properties or viable genomes of reduced size, are disclosed. Also disclosed are synthetic genomes produced by the methods disclosed herein and synthetic cells containing the synthetic genomes disclosed herein.",2021,La Jolla,US,32.8458529,-117.2575702,"[""La Jolla, CA"", ""Rockville, MD"", ""Gaithersburg, MD"", ""London"", ""San Diego"", ""San Diego, CA"", ""Encinitas, CA"", ""Carlsbad, CA""]","[[32.8458529, -117.2575702], [39.0817985, -77.1516844], [39.1399187, -77.1929215], [42.9836747, -81.2496068], [32.7174202, -117.162772], [32.7174202, -117.162772], [33.0369867, -117.2919818], [33.1580933, -117.3505966]]",,,False,0.0,core_keyword
US10876110,patent,SYNTHESIS OF SEQUENCE-VERIFIED NUCLEIC ACIDS,SYNTHESIS OF SEQUENCE-VERIFIED NUCLEIC ACIDS. The invention relates to methods and devices for preparing synthetic nucleic acids.,2020,Mannheim,DE,49.4892913,8.4673098,"[""Mannheim"", ""Strasbourg"", ""Weinheim"", ""Heidelberg"", ""South Hamilton, MA"", ""Bruchsal""]","[[49.4892913, 8.4673098], [48.584614, 7.7507127], [49.5462349, 8.6717458], [49.4093582, 8.694724], [42.6130398, -70.8723954], [49.124118, 8.5980244]]",,,False,0.0,core_keyword
US9943534,patent,COMPOSITION FOR PREVENTING OR TREATING LIVER CANCER CONTAINING GINSENOSIDE F2,"COMPOSITION FOR PREVENTING OR TREATING LIVER CANCER CONTAINING GINSENOSIDE F2. The present invention relates to a composition for preventing or treating liver cancer containing ginsenoside F2 as an active ingredient. Specifically, the composition according to the present invention kills liver cancer cells, specifically inhibits the formation of liver cancer, and reduces the expression of alanine aminotransferase (ALT) or aspartate aminotransferase (AST), without affecting normal hepatocytes, and thus can be usefully used as a therapeutic agent for liver cancer.",2018,Daejeon,KR,36.3497007,127.3849016,"[""Daejeon""]","[[36.3497007, 127.3849016]]",,,False,0.0,core_keyword
