id,type,title,text,year,city,country,lat,lon,part_name,part_uuid,part_type,part_role,source_dois,team_name,org_uuid,theme_primary,theme_secondary,case_study_flag,case_study_confidence,retrieval_reason
igem_part_BBa_25FNRV4N,part,Anti-HSA Nb77,A high-affinity anti-human serum albumin (HSA) nanobody. The epitope of the nanobody is located between domains II and III of HSA based on cross-link mass spectrometry data by Shen et al.,2025,Turku,FI,60.4515942,22.2669988,BBa_25FNRV4N,04d6f7fe-a6ae-4aa4-82b0-31d2542251de,Coding,Coding,10.1016/j.isci.2021.103014,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_25JXN2WR,part,Anti-HSA Nb13,A high-affinity anti-human serum albumin (HSA) nanobody. The epitope of the nanobody is located between domains I and II of HSA based on cross-link mass spectrometry data by Shen et al.,2025,Turku,FI,60.4515942,22.2669988,BBa_25JXN2WR,7340034d-efae-499e-b079-56d7ed5686c5,Coding,Coding,10.1016/j.isci.2021.103014,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_250IWA6S,part,Anti-HSA Nb29,A high-affinity anti-human serum albumin (HSA) nanobody. The epitope of the nanobody is located on domain I of HSA based on cross-link mass spectrometry data by Shen et al.,2025,Turku,FI,60.4515942,22.2669988,BBa_250IWA6S,e3a291cd-f862-4c96-9bf1-65e0021af524,Coding,Coding,10.1016/j.isci.2021.103014,ABOA,ba7f13c5-cce2-40de-ab08-8396aab309e5,,,False,0.0,igem_registry_api
igem_part_BBa_25JYVPQN,part,pGrac-his-mcherry,pGrac-his-mcherry,2025,Chengdu,CN,30.659867,104.063315,BBa_25JYVPQN,5f66284d-594a-4e60-b8dd-5aa3b4686a7e,Coding,Coding,,SCU-China,5926aa95-b7a1-43c0-97dd-570bb13c8204,,,False,0.0,igem_registry_api
igem_part_BBa_25V0ZX3W,part,mCherry,mCherry,2025,Chengdu,CN,30.659867,104.063315,BBa_25V0ZX3W,fe8eee30-2394-479a-a678-8e446958afc8,Coding,Coding,,SCU-China,5926aa95-b7a1-43c0-97dd-570bb13c8204,,,False,0.0,igem_registry_api
igem_part_BBa_25XRIBW0,part,pHpaII-tasA-smtA-p43-tasA-mfp5,A fusion protein capable of adsorbing heavy metal ions was produced and bound to the attachment protein on the biofilm of *Bacillus subtilis.*,2025,Chengdu,CN,30.659867,104.063315,BBa_25XRIBW0,0ab0de21-a3f6-4607-b6d8-635364bd26d1,Coding,Coding,,SCU-China,5926aa95-b7a1-43c0-97dd-570bb13c8204,,,False,0.0,igem_registry_api
igem_part_BBa_25Y79J0P,part,phnR-P-phnS-EGFP,"This part is designed to detect PHE concentration. The two regulatory proteins encoded by phnR and phnS act together on the operator region upstream of phnS. The phnR gene operates constitutively, and upon detecting SA (a metabolic intermediate of PHE), it activates the expression of phnS and its downstream genes. This part can even quantitatively measure PHE concentration and produce graded output signals, although this particular feature was not utilized in our experiments.",2025,Changsha,CN,28.1987538,112.9708685,BBa_25Y79J0P,13e32b5b-f255-409b-97d9-ce3d9d845f45,Measurement,Measurement,10.1128/jb.181.2.531-540.1999,HNU-China,b6212d85-9b53-4e79-927a-9360d476a5cf,,,False,0.0,igem_registry_api
igem_part_BBa_25CTZG9Q,part,phnR,A gene that can express the presumed regulatory protein which can recognize PHE and form compounds to drive the phnS upstream promoter to express the downstream genes.,2025,Changsha,CN,28.1987538,112.9708685,BBa_25CTZG9Q,49b5f09c-f90a-453e-aab3-fe9eb60bb8ea,Coding,Coding,,HNU-China,b6212d85-9b53-4e79-927a-9360d476a5cf,,,False,0.0,igem_registry_api
igem_part_BBa_258EKT2X,part,phnS,"A gene expresses a regulatory protein that interacts with the PhnR protein (expressed by the phnR gene) to control the activity of an upstream promoter. This regulatory mechanism is influenced by a metabolic intermediate of Phenanthrene (PHE), thereby constituting a genetic switch that senses the presence and concentration of PHE.",2025,Changsha,CN,28.1987538,112.9708685,BBa_258EKT2X,84894f07-2588-468c-90e6-d245bea903d9,Coding,Coding,,HNU-China,b6212d85-9b53-4e79-927a-9360d476a5cf,,,False,0.0,igem_registry_api
igem_part_BBa_2563P5EX,part,Negative Control Trigger Oligo (scrambled; no complementarity to IL7R/toehold),"Synthetic DNA oligonucleotide corresponding to a scrambled RNA trigger used in trans as a negative control for toehold-switch experiments. It matches the experimental trigger’s length (28 nt) and \~50% GC but lacks complementarity to the IL7R Δ6 junction and to the toehold hairpin, and is therefore not expected to activate translation.",2025,San Francisco,US,37.7879363,-122.4075201,BBa_2563P5EX,ead9b9a0-9fc7-46ba-86d0-91c4612220ae,Oligo [SO:0000696],Oligo [SO:0000696],,CalUCSF,f686223e-691a-47e8-8ed4-b2fdc018e078,,,False,0.0,igem_registry_api
