id,geo_city,country,weight,rep_patent,lat,lon
1p3g3y5d4v621w60294j6up4j1033511h2g453v,Pibrac,FR,0.07692307692307693,US9322000,43.6184665,1.2849684
4b183f4u1p2i6k292v2m5y4l2673f1q300gj,"La Canada, CA",US,0.5,US9322007,33.7301661,-117.7638553
4b183f4u1p2i6k292v2m5y4l2673f1q300gj,"Pasadena, CA",US,0.5,US9322007,34.1476507,-118.144155
1wt396l4c5zp2a4q5n3h6f643q5u6e1217w31,"Ithaca, NY",US,1.0,US9322023,42.4374175,-76.5483724
2h1tn64a1x3419f1i04s523x471b6h1y3g42,"Chestnut Hill, MA",US,0.16666666666666666,US9333163,42.3234553,-71.1639439
2h1tn64a1x3419f1i04s523x471b6h1y3g42,"Brookline, MA",US,0.16666666666666666,US9333163,42.332918,-71.1187829
2h1tn64a1x3419f1i04s523x471b6h1y3g42,"Cambridge, MA",US,0.3333333333333333,US9333163,42.3656347,-71.1040018
2h1tn64a1x3419f1i04s523x471b6h1y3g42,"San Diego, CA",US,0.16666666666666666,US9333163,32.7174202,-117.162772
2h1tn64a1x3419f1i04s523x471b6h1y3g42,"Newton, MA",US,0.16666666666666666,US9333163,42.3300435,-71.194862
6a3g5v5w1cvh45123l2y3n6y3h2e4a6w6r5i3a,"Gainesville, FL",US,1.0,US9334534,29.6519684,-82.3249846
4h302a3i214o3w1a5l0h2o281k282x5a46706l,"Gainesville, FL",US,0.16666666666666666,US7959929,29.6519684,-82.3249846
4h302a3i214o3w1a5l0h2o281k282x5a46706l,"Ithaca, NY",US,0.08333333333333333,US7959929,42.4374175,-76.5483724
4h302a3i214o3w1a5l0h2o281k282x5a46706l,"Atlanta, GA",US,0.3333333333333333,US7959929,33.7544657,-84.3898151
4h302a3i214o3w1a5l0h2o281k282x5a46706l,"Millsboro, DE",US,0.16666666666666666,US7959929,38.5915023,-75.2913018
4h302a3i214o3w1a5l0h2o281k282x5a46706l,Boxmeer,NL,0.08333333333333333,US7959929,51.6486483,5.9450972
4h302a3i214o3w1a5l0h2o281k282x5a46706l,"Desoto, KS",US,0.08333333333333333,US7959929,39.258196,-94.9187943
4h302a3i214o3w1a5l0h2o281k282x5a46706l,"Gainsville, FL",US,0.08333333333333333,US7959929,29.6194176,-82.3601179
4vg5a5q383b2y4j175g6z3w51n5g20425s2h7,Minato-ku,JP,0.6666666666666666,US9346740,35.6580089,139.7515137
4vg5a5q383b2y4j175g6z3w51n5g20425s2h7,Nagoya-shi,JP,0.3333333333333333,US9346740,35.1851045,136.8998438
1b96ip2b5o564k6t656z63s2w2b1cm3b153n,"Bellefonte, PA",US,0.16666666666666666,US9346902,40.9134862,-77.7737471
1b96ip2b5o564k6t656z63s2w2b1cm3b153n,"San Diego, CA",US,0.5,US9346902,32.7174202,-117.162772
1b96ip2b5o564k6t656z63s2w2b1cm3b153n,"Encinitas, CA",US,0.16666666666666666,US9346902,33.0369867,-117.2919818
1b96ip2b5o564k6t656z63s2w2b1cm3b153n,"Solana Beach, CA",US,0.16666666666666666,US9346902,32.9919141,-117.2678124
2m6o33504e4x3y1c3s3m5bb3b6g1o1w3140l6c,"SAN DIEGO, CA",US,0.5,US9353412,32.7174202,-117.162772
2m6o33504e4x3y1c3s3m5bb3b6g1o1w3140l6c,"STANFORD, CA",US,0.16666666666666666,US9353412,37.4265407,-122.1703055
2m6o33504e4x3y1c3s3m5bb3b6g1o1w3140l6c,"CARLSBAD, CA",US,0.3333333333333333,US9353412,33.1580933,-117.3505966
493l6o446o632s5d445y6c5m1n5c495j4s6u652,"Washington, DC",US,0.3333333333333333,US9359447,38.8950982,-77.0363849
493l6o446o632s5d445y6c5m1n5c495j4s6u652,"Potomac, MD",US,0.6666666666666666,US9359447,39.0180508,-77.1956331
535d65i4n713ku113q2g1u2t1wv1b66683k2p,"Skokie, IL",US,0.5,US9365873,42.0262972,-87.7521069
535d65i4n713ku113q2g1u2t1wv1b66683k2p,Nottingham,GB,0.5,US9365873,52.9534193,-1.1496461
2v1w2c4r5bc2b2f6v4a3w4p3a6h3w5t714kyc,"Middleton, WI",US,0.5,US9366678,43.0962919,-89.5119565
2v1w2c4r5bc2b2f6v4a3w4p3a6h3w5t714kyc,"Madison, WI",US,0.5,US9366678,43.07469,-89.3841663
4x45h5a2p5k3y2z1u2t6t5z3a3mk1d676i4p3t,"Brookline, MA",US,0.125,US9370551,42.332918,-71.1187829
4x45h5a2p5k3y2z1u2t6t5z3a3mk1d676i4p3t,"Pittsburgh, PA",US,0.25,US9370551,40.4406968,-80.0025666
4x45h5a2p5k3y2z1u2t6t5z3a3mk1d676i4p3t,"Newton, MA",US,0.125,US9370551,42.3300435,-71.194862
4x45h5a2p5k3y2z1u2t6t5z3a3mk1d676i4p3t,"Cambridge, MA",US,0.25,US9370551,42.3656347,-71.1040018
4x45h5a2p5k3y2z1u2t6t5z3a3mk1d676i4p3t,"Boston, MA",US,0.25,US9370551,42.3588336,-71.0578303
642m6h6x332h4h1z233x6m2p48685g4ed4q6th,"New York, NY",US,0.6666666666666666,US9371366,40.7127281,-74.0060152
642m6h6x332h4h1z233x6m2p48685g4ed4q6th,"Leonia, NJ",US,0.3333333333333333,US9371366,40.8617353,-73.9880495
566i2s2t6463j6lux6e6j3d22ev863l65,"CAMBRIDGE, MA",US,0.6666666666666666,US9371552,42.3656347,-71.1040018
566i2s2t6463j6lux6e6j3d22ev863l65,"BOSTON, MA",US,0.3333333333333333,US9371552,42.3588336,-71.0578303
r5n342y38714yd3n5m42531i2z475d4kr1oq,"Huntington, NY",US,0.3333333333333333,US9376469,40.868154,-73.425676
r5n342y38714yd3n5m42531i2z475d4kr1oq,"New York, NY",US,0.6666666666666666,US9376469,40.7127281,-74.0060152
6z663a515a958632665641855j5l3t6i2sp27,"Atlanta, GA",US,0.5,US9376691,33.7544657,-84.3898151
6z663a515a958632665641855j5l3t6i2sp27,"Berkeley, CA",US,0.5,US9376691,37.8708393,-122.272863
3f5x1j1014693f2u6rk62a4z5l6m193j6q5y5e,"Champaign, IL",US,0.4,US9376713,40.1164841,-88.2430932
3f5x1j1014693f2u6rk62a4z5l6m193j6q5y5e,Taichung,TW,0.2,US9376713,24.163162,120.6478282
3f5x1j1014693f2u6rk62a4z5l6m193j6q5y5e,"Urbana, IL",US,0.4,US9376713,40.1117174,-88.207301
4d585422j633d5q5f5f3w2u5c5g3p1141l2cm,"San Francisco, CA",US,0.6,US8815885,37.7879363,-122.4075201
4d585422j633d5q5f5f3w2u5c5g3p1141l2cm,"Santa Cruz, CA",US,0.2,US8815885,37.050096,-121.99059
4d585422j633d5q5f5f3w2u5c5g3p1141l2cm,"San Bruno, CA",US,0.1,US8815885,37.6248536,-122.4145986
4d585422j633d5q5f5f3w2u5c5g3p1141l2cm,Santiago,CL,0.1,US8815885,-33.4376995,-70.6510671
3h4m1v1j246w3l4i2we6n5z6s271q5q67w33m,"Los Altos, CA",US,0.2857142857142857,US9169467,37.3790629,-122.116578
3h4m1v1j246w3l4i2we6n5z6s271q5q67w33m,"Pennington, NJ",US,0.14285714285714285,US9169467,40.3281213,-74.7909992
3h4m1v1j246w3l4i2we6n5z6s271q5q67w33m,"Wilmington, DE",US,0.2857142857142857,US9169467,39.7459468,-75.546589
3h4m1v1j246w3l4i2we6n5z6s271q5q67w33m,"Ridley Park, PA",US,0.14285714285714285,US9169467,39.8812236,-75.3237993
3h4m1v1j246w3l4i2we6n5z6s271q5q67w33m,"Hockessin, DE",US,0.14285714285714285,US9169467,39.7874275,-75.6879987
