part_name,pmcid,doi,year
BBa_E1010,PMC6978647,10.2174/0929866526666190806145740,2020
BBa_J97001,PMC6978647,10.2174/0929866526666190806145740,2020
BBa_K592009,PMC6978647,10.2174/0929866526666190806145740,2020
BBa_K864401,PMC6978647,10.2174/0929866526666190806145740,2020
BBa_B0034,PMC7744093,10.7554/eLife.56849.sa2,2020
BBa_T9002,PMC7559085,10.3390/ph13090263,2020
BBa_B0064,PMC7536230,10.1038/s41467-020-18630-2,2020
BBa_J23101,PMC7536230,10.1038/s41467-020-18630-2,2020
BBa_B0034,PMC7533339,10.1111/1751-7915.13609,2020
BBa_E1010,PMC7533339,10.1111/1751-7915.13609,2020
BBa_E2050,PMC7533339,10.1111/1751-7915.13609,2020
BBa_J06504,PMC7533339,10.1111/1751-7915.13609,2020
BBa_J23100,PMC7533339,10.1111/1751-7915.13609,2020
BBa_J23105,PMC7533339,10.1111/1751-7915.13609,2020
BBa_K1033916,PMC7533339,10.1111/1751-7915.13609,2020
BBa_K1033919,PMC7533339,10.1111/1751-7915.13609,2020
BBa_K515105,PMC7533339,10.1111/1751-7915.13609,2020
BBa_K592009,PMC7533339,10.1111/1751-7915.13609,2020
BBa_K592010,PMC7533339,10.1111/1751-7915.13609,2020
BBa_K598020,PMC7533339,10.1111/1751-7915.13609,2020
BBa_R0051,PMC7533339,10.1111/1751-7915.13609,2020
BBa_B1002,PMC7567684,10.1007/s00253-020-10905-4,2020
BBa_B0034,PMC7246135,10.1038/s41589-020-0509-x,2020
BBa_C0062,PMC7246135,10.1038/s41589-020-0509-x,2020
BBa_K145015,PMC7246135,10.1038/s41589-020-0509-x,2020
BBa_K206000,PMC7246135,10.1038/s41589-020-0509-x,2020
BBa_R0062,PMC7246135,10.1038/s41589-020-0509-x,2020
BBa_B1002,PMC7607686,10.1186/s12934-020-01457-3,2020
BBa_J61100,PMC7544201,10.1093/nar/gkaa786,2020
BBa_J61104,PMC7544201,10.1093/nar/gkaa786,2020
BBa_J61106,PMC7544201,10.1093/nar/gkaa786,2020
BBa_J61108,PMC7544201,10.1093/nar/gkaa786,2020
BBa_J23109,PMC7580202,10.1016/j.xpro.2019.100003,2020
BBa_B0034,PMC7580223,10.1016/j.xpro.2020.100084,2020
BBa_B0010,PMC7500934,10.1126/sciadv.abb4920,2020
BBa_J23101,PMC7500934,10.1126/sciadv.abb4920,2020
BBa_J23106,PMC7500934,10.1126/sciadv.abb4920,2020
BBa_J23117,PMC7500934,10.1126/sciadv.abb4920,2020
BBa_R0040,PMC7500934,10.1126/sciadv.abb4920,2020
BBa_R0062,PMC7500934,10.1126/sciadv.abb4920,2020
BBa_T9002,PMC7500934,10.1126/sciadv.abb4920,2020
BBa_B0034,PMC7436927,10.15252/msb.20209584,2020
BBa_J23101,PMC7436927,10.15252/msb.20209584,2020
BBa_J23104,PMC7436927,10.15252/msb.20209584,2020
BBa_J23117,PMC7356669,10.15252/msb.20199427,2020
BBa_J23119,PMC7356669,10.15252/msb.20199427,2020
BBa_M0050,PMC7356669,10.15252/msb.20199427,2020
BBa_J23100,PMC7367181,10.1093/nar/gkaa451,2020
BBa_J23106,PMC7367181,10.1093/nar/gkaa451,2020
BBa_J23116,PMC7367181,10.1093/nar/gkaa451,2020
BBa_J23117,PMC7367181,10.1093/nar/gkaa451,2020
BBa_J23100,PMC7387798,10.1128/mBio.01053-20,2020
BBa_J23119,PMC7334480,10.1016/j.synbio.2020.06.009,2020
BBa_J23101,PMC7365139,10.15252/msb.20209618,2020
BBa_J23108,PMC7365139,10.15252/msb.20209618,2020
BBa_J23114,PMC7365139,10.15252/msb.20209618,2020
BBa_J23115,PMC7365139,10.15252/msb.20209618,2020
BBa_J23100,PMC7332536,10.1186/s12934-020-01393-2,2020
BBa_B0010,PMC7347698,10.1007/s00253-020-10671-3,2020
BBa_J23100,PMC7337522,10.1093/nar/gkaa325,2020
BBa_J23102,PMC7337522,10.1093/nar/gkaa325,2020
BBa_J23119,PMC7337522,10.1093/nar/gkaa325,2020
BBa_J23100,PMC7324612,10.1038/s41598-020-67359-x,2020
BBa_B1006,PMC7300353,10.1128/mSphere.00313-20,2020
BBa_I751502,PMC7290156,10.15252/msb.20199361,2020
BBa_R0063,PMC7290156,10.15252/msb.20199361,2020
BBa_K823023,PMC7264492,10.1016/j.dib.2020.105736,2020
BBa_K823025,PMC7264492,10.1016/j.dib.2020.105736,2020
BBa_K823027,PMC7264492,10.1016/j.dib.2020.105736,2020
BBa_C0062,PMC7265303,10.1038/s41467-020-16574-1,2020
BBa_J23100,PMC7221421,10.1002/mbo3.1019,2020
BBa_J23108,PMC7221421,10.1002/mbo3.1019,2020
BBa_I20260,PMC7203346,10.3389/fmicb.2020.00578,2020
BBa_J04450,PMC7203346,10.3389/fmicb.2020.00578,2020
BBa_K1218011,PMC7203346,10.3389/fmicb.2020.00578,2020
BBa_K1547006,PMC7244727,10.1038/s42003-020-0971-8,2020
BBa_J04450,PMC7214458,10.1038/s41467-020-15711-0,2020
BBa_K914003,PMC7266957,10.3389/fmolb.2020.00098,2020
BBa_B0015,PMC7125158,10.1038/s41598-020-62681-w,2020
BBa_J23119,PMC7063769,10.1186/s12934-020-01321-4,2020
BBa_R0051,PMC7063769,10.1186/s12934-020-01321-4,2020
BBa_J23107,PMC7113249,10.1038/s41467-020-15454-y,2020
BBa_J23117,PMC7113249,10.1038/s41467-020-15454-y,2020
BBa_J23119,PMC7113249,10.1038/s41467-020-15454-y,2020
